# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	96130
#@/user_id	c768ef2d-e87d-4330-bf27-256461b2f71b
a 	啊	c=30 d=1.66212e-07 t=96130
qi jian 	期間	c=6 d=1 t=91254
qi jian gong 	齐简公	c=1 d=1.10897e-11 t=96130
qi ju 	器具	c=1 d=1 t=69436
qi kan 	期刊	c=3 d=1 t=74711
qi lai 	起來	c=12 d=0.00296761 t=96130
qi li xiang 	七里香	c=1 d=1 t=22740
qi mo 	期末	c=8 d=5.99353e-08 t=96130
qi pai 	棋牌	c=1 d=1 t=26272
qi quan 	棄權	c=3 d=2.61962 t=25721
qi quan piao 	弃权票	c=1 d=1 t=25673
qi shi 	其實	c=42 d=0.0145524 t=96130
qi shi 	歧視	c=2 d=1.16203 t=44941
qi shi tiao jian 	起始條件	c=1 d=6.19837e-21 t=96130
qi si miao xiang 	奇思妙想	c=1 d=1 t=77375
qi ta 	其他	c=114 d=0.00485885 t=96130
qi ta 	其它	c=4 d=1.8781 t=82706
qi ta lei 	其他类	c=1 d=1.58106e-07 t=96130
qi tian 	七天	c=1 d=1 t=20707
qi tiao 	七條	c=1 d=1 t=39860
qi wang 	期望	c=2 d=0.000380129 t=96130
qi wen 	氣溫	c=1 d=1 t=30862
qi ye 	企業	c=17 d=1 t=91826
qi yi 	歧義	c=1 d=1 t=74531
qi yi zhi 	奇異值	c=5 d=8.72796e-18 t=96130
qi yin 	起因	c=1 d=1 t=62404
qi you 	汽油	c=1 d=1 t=63344
qi yu 	其餘	c=13 d=0.000468957 t=96130
qi zhen 	起疹	c=1 d=1 t=82813
qi zhi 	旗幟	c=3 d=1 t=77964
qi zhong 	其中	c=86 d=0.62158 t=96130
qi zuo yong 	起作用	c=1 d=1 t=34551
qia 	卡	c=0 d=0.1 t=89501
qia hou duan 	卡後端	c=1 d=1 t=89502
qia qia 	恰恰	c=1 d=1 t=53167
qian 	前	c=65 d=0.000835748 t=96130
qian 	千	c=5 d=1 t=41822
qian 	欠	c=3 d=9.24059e-13 t=96130
qian 	簽	c=1 d=0.136695 t=96130
qian 	錢	c=10 d=0.0798516 t=96130
qian an ju 	錢安居	c=1 d=2.31157e-05 t=96130
qian bai 	千百	c=2 d=0.118049 t=96130
qian ban 	牽絆	c=1 d=1 t=46676
qian bei 	前輩	c=1 d=1 t=29879
qian bo 	淺薄	c=1 d=1 t=74227
qian dao 	簽到	c=6 d=0.483019 t=96130
qian dao yuan 	簽到員	c=8 d=0.196912 t=96130
qian du 	淺度	c=1 d=1 t=47517
qian duan 	前端	c=30 d=0.806541 t=96130
qian hou 	前後	c=4 d=1 t=89483
qian hou duan 	前後端	c=7 d=1.12938 t=94297
qian jin 	前進	c=2 d=2.2007e-15 t=96130
qian jing 	前景	c=1 d=3.88944e-09 t=96130
qian kui 	前饋	c=11 d=1 t=95424
qian lai 	前來	c=1 d=1.70594e-19 t=96130
qian li 	潛力	c=1 d=1 t=59237
qian liang 	前兩	c=0 d=1.08402e-09 t=96130
qian liang ceng 	前兩層	c=1 d=1.08946e-08 t=96130
qian liang ge 	前兩個	c=1 d=1 t=33606
qian mian 	前面	c=16 d=0.00010569 t=96130
qian neng 	潛能	c=2 d=1.85642 t=39578
qian ni 	潛匿	c=1 d=2.89729e-15 t=96130
qian ni he 	欠擬合	c=10 d=9.51398e-11 t=96130
qian ni he 	錢擬合	c=1 d=0.802519 t=96130
qian nian 	前念	c=1 d=1 t=61440
qian nian 	千年	c=1 d=1 t=61441
qian qu 	前趨	c=7 d=1.97887e-07 t=96130
qian qu 	前驅	c=2 d=1.82777e-07 t=96130
qian qu jie dian 	前趨結點	c=1 d=1.79158e-07 t=96130
qian qu jie dian 	前驱结点	c=2 d=9.15426e-12 t=96130
qian ru 	嵌入	c=26 d=1.25373 t=95919
qian ru biao 	嵌入表	c=1 d=1 t=57010
qian ru ceng 	嵌入層	c=2 d=1.11248 t=95942
qian ru shi 	嵌入式	c=3 d=1.0147 t=39582
qian se 	淺色	c=1 d=2.19883e-05 t=96130
qian shi 	钱时	c=1 d=1 t=48541
qian shi ge 	前十個	c=1 d=1 t=34400
qian shi jin sheng 	前世今生	c=5 d=1.4046 t=50267
qian tao 	嵌套	c=1 d=3.47046e-21 t=96130
qian ti 	前提	c=4 d=1 t=82989
qian ti 	前體	c=1 d=1 t=52712
qian wan 	前晚	c=2 d=1 t=52909
qian wang 	前往	c=1 d=1 t=52911
qian wang 	千王	c=1 d=1 t=52904
qian xi 	遷徙	c=1 d=1 t=73789
qian xian 	淺顯	c=1 d=1 t=73410
qian xiang 	前像	c=1 d=1 t=56483
qian xiang 	前向	c=4 d=0.129452 t=82431
qian xiang guo cheng 	前向過程	c=2 d=1.96561 t=82439
qian xu 	前序	c=2 d=1 t=88699
qian yan 	前沿	c=3 d=1 t=78924
qian yi 	千億	c=1 d=1 t=61371
qian yi 	遷移	c=5 d=1.19803e-08 t=96130
qian yi ci 	前一次	c=1 d=1 t=88020
qian yi ge 	前一個	c=6 d=0.0816756 t=96130
qian yi ke 	前一刻	c=1 d=1 t=57066
qian yi xue xi 	遷移学习	c=1 d=1.10382e-15 t=96130
qian zai 	潛在	c=4 d=1.94548e-06 t=96130
qian zhi 	前置	c=1 d=6.3019e-10 t=96130
qian zhi 	牽制	c=1 d=1 t=66188
qian zi 	簽字	c=5 d=0.120633 t=96130
qiang 	強	c=14 d=0.00348309 t=96130
qiang 	搶	c=2 d=5.65122e-22 t=96130
qiang 	蹌	c=1 d=1 t=88383
qiang da 	強大	c=2 d=8.09731e-18 t=96130
qiang dao 	搶到	c=1 d=5.57675e-13 t=96130
qiang diao 	強調	c=3 d=1 t=75942
qiang du 	強度	c=2 d=6.51486e-09 t=96130
qiang guo 	強國	c=1 d=1 t=45233
qiang hua 	強化	c=1 d=1 t=92449
qiang jia 	強加	c=2 d=1.97045 t=74251
qiang jiang 	強將	c=1 d=1 t=64738
qiang lei 	枪类	c=1 d=1 t=78584
qiang lie 	強烈	c=1 d=1 t=78585
qiang piao 	抢票	c=1 d=0.0280154 t=96130
qiang po zheng 	強迫症	c=1 d=1 t=84606
qiang ren 	強忍	c=1 d=1 t=30344
qiang sheng 	強盛	c=3 d=1 t=77545
qiang shi 	強勢	c=1 d=1 t=46106
qiang wei 	薔薇	c=1 d=1 t=24384
qiang xing 	強行	c=3 d=0.000197455 t=96130
qiang yu 	強於	c=1 d=1 t=55910
qiang zhi 	強制	c=1 d=1 t=77121
qiao 	橋	c=2 d=1.00009 t=39861
qiao cui 	憔悴	c=1 d=1 t=43380
qiao ding 	敲定	c=1 d=1 t=78948
qiao er lang tui 	翘二郎腿	c=1 d=1 t=45072
qiao ji 	巧計	c=1 d=5.96364e-08 t=96130
qiao miao 	巧妙	c=1 d=0.00245152 t=96130
qie 	且	c=14 d=1.05181e-06 t=96130
qie 	切	c=4 d=3.98926e-13 t=96130
qie bu bao cuo 	且不報錯	c=1 d=1 t=71037
qie dian 	切點	c=2 d=3.65473e-12 t=96130
qie fen 	切分	c=2 d=0.00683978 t=96130
qie huan 	切換	c=27 d=0.0555868 t=96130
qie huan dao 	切換到	c=1 d=3.46032e-16 t=96130
qie pian 	切片	c=7 d=1 t=38304
qie ping 	切屏	c=1 d=1.06079 t=78262
qie ping ma 	切屏嗎	c=1 d=1 t=78263
qie shi 	切實	c=1 d=1 t=45891
qie si 	且死	c=1 d=3.8827e-18 t=96130
qie yi 	愜意	c=1 d=1 t=76481
qin 	琴	c=1 d=0.0405589 t=96130
qin heng 	沁恆	c=1 d=1 t=39583
qin mi 	親密	c=1 d=1 t=24303
qin peng hao you 	親朋好友	c=1 d=1 t=41400
qin zi 	親自	c=1 d=1 t=37934
qing 	卿	c=1 d=1 t=44052
qing 	情	c=1 d=1 t=35509
qing 	清	c=4 d=2.39594e-15 t=96130
qing 	請	c=122 d=0.0307905 t=96130
qing 	青	c=3 d=3.91027e-13 t=96130
qing an 	轻安	c=0 d=0.1 t=23148
qing an bao 	轻安報	c=1 d=1 t=23149
qing ba 	請把	c=4 d=4.96147e-20 t=96130
qing ba ta 	請把它	c=1 d=1 t=34750
qing bang 	请帮	c=4 d=9.70776e-05 t=96130
qing bang 	青棒	c=1 d=1.18878e-05 t=96130
qing bang wo 	请帮我	c=8 d=1 t=95132
qing bao 	情報	c=1 d=0.104874 t=96130
qing bu chong 	請補充	c=2 d=1 t=88677
qing chu 	清楚	c=7 d=1 t=60592
qing chu 	清除	c=6 d=5.58738e-06 t=96130
qing da jia 	請大家	c=2 d=0.25284 t=96130
qing dao 	青島	c=2 d=1 t=87157
qing gan 	情感	c=2 d=1 t=58187
qing gao 	清高	c=0 d=0.1 t=71027
qing gao shi 	清高是	c=1 d=1 t=71028
qing gao su 	请告诉	c=1 d=1 t=71018
qing gei 	请给	c=25 d=9.96309e-05 t=96130
qing gei chu 	請給出	c=4 d=5.76128e-06 t=96130
qing gei wo 	請給我	c=1 d=8.68739e-22 t=96130
qing gen ju 	请根据	c=1 d=1 t=23011
qing hu 	情湖	c=0 d=3.33846e-07 t=96130
qing hu ru 	情湖如	c=1 d=3.3552e-06 t=96130
qing hua 	情話	c=1 d=1 t=42163
qing hua 	清華	c=1 d=1.52062e-19 t=96130
qing huai 	情懷	c=1 d=1 t=56880
qing hui da 	請回答	c=1 d=1 t=72790
qing ji xu 	请继续	c=1 d=8.22248e-22 t=96130
qing jia 	請假	c=1 d=2.32632e-21 t=96130
qing jiang 	請將	c=8 d=1 t=73414
qing jiang 	請講	c=12 d=1.9991 t=74452
qing jie 	情節	c=2 d=1 t=75024
qing jie 	清潔	c=1 d=1 t=30782
qing jie he 	情節和	c=1 d=1 t=67242
qing jing 	情景	c=1 d=0.0421052 t=96130
qing jing qu 	情景去	c=1 d=0.423162 t=96130
qing ju ge 	請舉個	c=1 d=1 t=70983
qing ju li 	请举例	c=3 d=4.25573e-09 t=96130
qing kan 	請看	c=2 d=1.00003 t=33436
qing kong 	清空	c=2 d=3.56449e-12 t=96130
qing ku 	清苦	c=0 d=0.1 t=87142
qing ku na ge 	清苦哪個	c=1 d=1 t=87143
qing kua guo 	請跨國	c=1 d=1 t=35329
qing kuang 	情況	c=44 d=0.0306538 t=96130
qing kuang xia 	情況下	c=6 d=0.0167392 t=96130
qing li 	清理	c=10 d=3.2825e-13 t=96130
qing liang 	轻量	c=1 d=1 t=24486
qing liang ji 	輕量級	c=1 d=2.12393e-09 t=96130
qing lie ju 	请列举	c=1 d=1 t=69276
qing lv 	情侶	c=6 d=0.000175127 t=96130
qing miao 	輕妙	c=1 d=1 t=32281
qing ni 	請你	c=33 d=0.0381969 t=96130
qing nian 	青年	c=11 d=1.07577 t=45839
qing nin 	請您	c=1 d=1 t=66417
qing qing 	輕輕	c=1 d=1 t=32282
qing qiu 	請求	c=7 d=0.941765 t=96130
qing qiu ti 	請求提	c=1 d=7.34571e-19 t=96130
qing qiu ti 	請求體	c=1 d=9.80699e-07 t=96130
qing ren 	情人	c=1 d=1 t=32062
qing shu ru 	請輸入	c=1 d=1 t=55162
qing shuo 	請說	c=3 d=1 t=61839
qing shuo chu 	請說出	c=1 d=1 t=67241
qing song 	輕鬆	c=1 d=8.80818e-08 t=96130
qing ting 	傾聽	c=1 d=1.96637e-14 t=96130
qing wen 	請問	c=10 d=3.75236e-11 t=96130
qing xi 	清晰	c=8 d=0.00577048 t=96130
qing xi 	清洗	c=16 d=0.272138 t=96130
qing xiang 	傾向	c=1 d=1 t=24151
qing xu 	情緒	c=6 d=1.16957 t=47243
qing yi 	情誼	c=1 d=7.87432e-13 t=96130
qing yong 	請用	c=12 d=4.81402e-18 t=96130
qing yue 	傾月	c=1 d=4.79001e-18 t=96130
qing zai 	請在	c=4 d=1.0001 t=70447
qing zhen dui 	請針對	c=1 d=1 t=37640
qing zhuan huan cheng 	請轉換成	c=1 d=1 t=36080
qiu 	求	c=33 d=0.105928 t=96130
qiu 	球	c=3 d=8.56069e-15 t=96130
qiu ai 	求愛	c=1 d=1 t=74186
qiu chang 	球場	c=1 d=1 t=74187
qiu chu 	求出	c=2 d=1 t=87371
qiu dao 	求導	c=6 d=1.40861 t=60074
qiu de 	求得	c=1 d=1 t=60370
qiu gen 	求根	c=1 d=1 t=39866
qiu he 	求和	c=4 d=0.0106202 t=96130
qiu ji 	求積	c=1 d=1 t=50329
qiu jie 	求解	c=7 d=0.265233 t=96130
qiu qiu 	求求	c=2 d=1.81058 t=25723
qiu shi 	求是	c=2 d=1.68045 t=38765
qiu shi 	糗事	c=1 d=1 t=38687
qiu xue 	求學	c=1 d=1.71449e-19 t=96130
qiu zhi 	求職	c=1 d=1 t=43415
qiu zhu 	求助	c=1 d=1 t=81173
qiu zi 	楸子	c=1 d=1 t=43414
qu 	區	c=9 d=3.33837e-12 t=96130
qu 	去	c=80 d=0.192392 t=96130
qu 	取	c=37 d=0.491644 t=96130
qu a 	曲阿	c=0 d=2.80297e-09 t=96130
qu a nei 	曲阿內	c=1 d=2.81702e-08 t=96130
qu ba 	去吧	c=1 d=1 t=34834
qu bei 	曲背	c=3 d=1 t=70010
qu bie 	區別	c=91 d=0.233412 t=96130
qu bie er 	區別而	c=1 d=1 t=49900
qu chu 	去除	c=14 d=8.71931e-06 t=96130
qu chu 	取出	c=7 d=9.09683e-05 t=96130
qu de 	取得	c=10 d=0.00171216 t=96130
qu de guo 	取得过	c=1 d=1 t=19456
qu diao 	去掉	c=17 d=0.00344787 t=96130
qu ding 	去定	c=1 d=1 t=72397
qu dong 	驅動	c=1 d=1 t=34184
qu fan 	取反	c=1 d=1 t=27802
qu fen 	區分	c=5 d=1.07006e-08 t=96130
qu jian 	區間	c=1 d=1 t=53050
qu jue 	取決	c=1 d=1 t=83316
qu jue yu 	取決於	c=3 d=7.81082e-06 t=96130
qu kuai lian 	區塊鏈	c=1 d=1 t=91431
qu na 	去哪	c=0 d=0.1 t=29433
qu na guo 	去哪過	c=1 d=1 t=29434
qu nian 	去年	c=4 d=0.394554 t=96130
qu qu 	區區	c=0 d=0.1 t=89820
qu qu yi jie 	區區一屆	c=1 d=1 t=89821
qu se 	取色	c=2 d=1.19202 t=96130
qu shi 	趨勢	c=4 d=1 t=91626
qu xia 	取下	c=0 d=1.72755e-21 t=96130
qu xia lai 	取下來	c=1 d=1.73621e-20 t=96130
qu xian 	曲線	c=5 d=1.62814 t=94292
qu xiao 	取消	c=8 d=3.0448e-11 t=96130
qu yu 	區域	c=5 d=4.79832e-09 t=96130
qu yu 	趨於	c=2 d=1.00874 t=60959
qu zhe 	曲折	c=1 d=1 t=74195
qu zhi 	取值	c=5 d=1 t=70607
qu zhu 	驅逐	c=1 d=1 t=73810
qu zuo 	去做	c=1 d=1 t=60325
quan 	全	c=23 d=0.00775048 t=96130
quan 	圈	c=2 d=2.8968e-13 t=96130
quan 	權	c=12 d=3.16866 t=89280
quan ban 	全班	c=1 d=1 t=29586
quan bu 	全部	c=16 d=0.774916 t=96130
quan che 	全車	c=1 d=1 t=29771
quan cheng 	全稱	c=10 d=1.79621e-08 t=96130
quan dou 	全都	c=2 d=1 t=60190
quan dui 	全對	c=2 d=1 t=89641
quan gai lv 	全概率	c=2 d=1.89583 t=52019
quan guo 	全國	c=17 d=0.206109 t=96130
quan ju 	全局	c=9 d=0.000137073 t=96130
quan kao 	全考	c=1 d=1 t=82944
quan li 	權力	c=7 d=6.63259e-06 t=96130
quan li yi fu 	全力以赴	c=1 d=1 t=48383
quan lian jie 	全連接	c=3 d=1 t=92830
quan lian jie ceng 	全連接層	c=2 d=1.55006e-09 t=96130
quan mei 	全沒	c=2 d=0.0182243 t=96130
quan mian 	全面	c=22 d=0.0211222 t=96130
quan min 	全民	c=1 d=1 t=76840
quan ming 	全名	c=3 d=1 t=82144
quan mo shi 	全模式	c=4 d=0.0062701 t=96130
quan neng 	全能	c=1 d=1 t=79788
quan ping 	全屏	c=2 d=1.99501 t=86154
quan qiu 	全球	c=8 d=2.11346e-16 t=96130
quan ri 	全日	c=1 d=1 t=18999
quan shen 	全身	c=6 d=7.82971e-05 t=96130
quan shi 	全是	c=7 d=1.17148e-09 t=96130
quan ti 	全體	c=1 d=1 t=19000
quan wang 	全網	c=2 d=1 t=61437
quan wei 	全爲	c=1 d=2.16197e-12 t=96130
quan wei 	勸慰	c=1 d=3.3552e-06 t=96130
quan xian 	權限	c=4 d=1 t=90781
quan xiao 	全校	c=2 d=1 t=92032
quan xin 	全新	c=2 d=1.01822 t=75076
quan xin quan yi 	全心全意	c=1 d=1 t=44368
quan xue qi 	全学期	c=1 d=1 t=29427
quan yi 	全怿	c=1 d=1 t=62412
quan yi 	權益	c=1 d=1 t=62414
quan yuan 	全員	c=1 d=1 t=19021
quan yuan 	全院	c=1 d=1 t=38210
quan zhong 	權重	c=56 d=0.0148022 t=96130
quan zi 	圈子	c=3 d=1.96079 t=87346
que 	卻	c=11 d=1.23958e-12 t=96130
que 	確	c=1 d=1 t=85870
que 	缺	c=4 d=1.02981 t=80952
que ai 	缺爱	c=1 d=1 t=39687
que bao 	確保	c=8 d=0.252883 t=96130
que bie 	卻別	c=1 d=0.00109172 t=96130
que dian 	缺點	c=10 d=4.88261e-08 t=96130
que ding 	確定	c=50 d=0.404874 t=96130
que ding xing 	確定性	c=1 d=1 t=84205
que fa 	缺乏	c=3 d=1 t=71682
que li 	確立	c=1 d=3.78297e-06 t=96130
que mei you 	卻沒有	c=1 d=1 t=85817
que ren 	確認	c=3 d=1 t=91143
que shao 	缺少	c=6 d=1.50523e-17 t=96130
que shi 	確實	c=34 d=1.51396 t=96130
que shi 	缺失	c=9 d=1.05156 t=85255
que xian 	缺陷	c=1 d=1 t=55525
que yang 	缺氧	c=1 d=1 t=53152
que you 	卻又	c=3 d=1 t=81893
qun 	羣	c=4 d=1 t=91939
qun bu 	裙部	c=2 d=0.063609 t=96130
qun ce 	羣策	c=1 d=1 t=42839
qun ce qun li 	群策群力	c=1 d=1 t=29774
qun di 	裙底	c=1 d=2.65433e-14 t=96130
qun ju 	羣居	c=1 d=2.30004e-05 t=96130
qun li 	羣裏	c=4 d=0.158025 t=96130
qun li 	群力	c=5 d=0.147358 t=96130
qun zhong 	羣衆	c=5 d=1 t=76845
ran 	然	c=6 d=1 t=90550
ran er 	然而	c=1 d=1 t=44568
ran hou 	然後	c=53 d=1.69871 t=96130
ran liao 	燃料	c=2 d=1.91393 t=63345
ran ou 	然偶	c=1 d=1 t=54704
ran shao 	燃燒	c=1 d=1 t=44012
ran you 	冉有	c=0 d=1.76214e-19 t=96130
rang 	讓	c=72 d=0.32479 t=96130
rang hou 	让后	c=1 d=1 t=28055
rang ni 	讓你	c=5 d=0.0020601 t=96130
rang qi 	讓其	c=1 d=1 t=32503
rang ta 	讓他	c=3 d=1 t=43772
rang ta 	讓她	c=2 d=1 t=48439
rang wo 	讓我	c=13 d=0.000427536 t=96130
rang wo men 	讓我們	c=1 d=1 t=60987
rao 	繞	c=0 d=0.1 t=40473
rao bu 	绕不	c=0 d=0.182696 t=59115
rao bu guo qu 	绕不過去	c=1 d=1 t=59078
rao bu kai 	绕不開	c=1 d=1 t=59116
rao bu lai 	繞不來	c=1 d=1 t=40474
re 	熱	c=4 d=1.74823e-13 t=96130
re chao 	熱潮	c=1 d=1 t=72283
re dian 	熱點	c=2 d=1 t=86279
re du 	熱度	c=1 d=1 t=89722
re li 	熱力	c=1 d=1 t=36226
re li tu 	熱力圖	c=8 d=1 t=71819
re li xue 	熱力學	c=2 d=1.98511 t=30620
re nao 	熱鬧	c=1 d=1 t=91325
re qing 	熱情	c=2 d=1 t=73807
re tu 	热图	c=1 d=1 t=65911
ren 	人	c=136 d=1.69627 t=96130
ren 	仁	c=1 d=1 t=43948
ren 	任	c=6 d=0.421052 t=96130
ren bu zhu 	忍不住	c=7 d=1.43351e-12 t=96130
ren cai 	人才	c=2 d=1.28794 t=46015
ren che 	人車	c=5 d=3.08406 t=42751
ren cuo 	認錯	c=1 d=1 t=79691
ren da 	人大	c=8 d=0.10383 t=96130
ren gong 	人工	c=8 d=1.0435 t=92801
ren gong he 	人工河	c=2 d=1.97045 t=46351
ren gong zhi neng 	人工智能	c=95 d=0.837442 t=96130
ren hao duo 	人好多	c=1 d=1 t=34884
ren he 	任何	c=30 d=2.58381 t=96130
ren hua 	人話	c=4 d=1 t=80681
ren ji 	人機	c=3 d=1.86346 t=92386
ren ji 	人際	c=2 d=5.03131e-08 t=96130
ren jia 	人家	c=4 d=0.00276866 t=96130
ren jian 	人见	c=1 d=1 t=26113
ren jian 	人間	c=2 d=1 t=36777
ren jian er 	人尖兒	c=1 d=1 t=34205
ren jin 	韌勁	c=1 d=1 t=75329
ren ke 	認可	c=3 d=1 t=46612
ren kou 	人口	c=1 d=1 t=44625
ren lai 	人來	c=1 d=1 t=49433
ren lei 	人類	c=12 d=3.58053e-06 t=96130
ren lei shi 	人類史	c=1 d=1 t=38231
ren lian 	人臉	c=20 d=0.000836113 t=96130
ren lian jian ce 	人臉檢測	c=2 d=2.45481e-09 t=96130
ren lian shi bie 	人臉識別	c=1 d=1.8981e-10 t=96130
ren men 	人們	c=2 d=1 t=90011
ren mian 	人面	c=2 d=3.78491e-12 t=96130
ren min 	人民	c=12 d=1.00009 t=78699
ren min bi 	人民幣	c=4 d=1.00139 t=68651
ren ming 	人名	c=2 d=1.94649 t=80747
ren na me 	人那麼	c=1 d=4.39669e-10 t=96130
ren nao 	人腦	c=4 d=1.99501 t=92083
ren ne 	人呢	c=0 d=0.1 t=37959
ren ping 	任憑	c=1 d=1 t=30334
ren qi 	任期	c=1 d=1 t=29441
ren qing 	人情	c=6 d=1.99017 t=54893
ren qing zhai 	人情債	c=1 d=1 t=47308
ren qun 	人羣	c=1 d=1 t=75912
ren sheng 	人生	c=4 d=1 t=80247
ren shi 	認識	c=15 d=0.129385 t=96130
ren shi dao 	認識到	c=1 d=1 t=70909
ren shu 	人數	c=5 d=1 t=41023
ren ti 	人體	c=19 d=0.0019433 t=96130
ren ti zi tai 	人體姿態	c=2 d=0.000117201 t=96130
ren wei 	認爲	c=9 d=0.00379364 t=96130
ren wei nu 	認爲怒	c=1 d=1 t=55813
ren wen 	人文	c=9 d=1.78389e-16 t=96130
ren wu 	任務	c=97 d=0.278833 t=96130
ren wu dan 	任务单	c=1 d=1 t=50064
ren xing 	人性	c=1 d=6.5783e-15 t=96130
ren xing dao 	人行道	c=6 d=2.25366 t=42786
ren yao 	人要	c=1 d=1 t=73733
ren yi 	任意	c=29 d=1.33944e-10 t=96130
ren yi ren 	忍一忍	c=1 d=1 t=85169
ren yuan 	人員	c=15 d=0.000160856 t=96130
ren zai 	人在	c=1 d=6.75769e-08 t=96130
ren zao 	人造	c=1 d=1 t=73777
ren zhe 	忍着	c=2 d=1 t=70900
ren zhen 	認真	c=5 d=5.31488e-06 t=96130
ren zheng 	認證	c=2 d=1 t=75908
ren zhi 	認知	c=3 d=1.96561 t=92275
ren zhong 	人中	c=1 d=1 t=56639
ren zhong 	人種	c=1 d=1 t=56640
ri 	日	c=37 d=1.4926 t=96130
ri cheng 	日程	c=1 d=1 t=35118
ri chu 	日出	c=1 d=1.099 t=36823
ri guan feng 	日觀峰	c=1 d=1 t=36821
ri gui 	日規	c=10 d=0.425283 t=96130
ri gui 	日軌	c=4 d=0.000863083 t=96130
ri han 	日韓	c=1 d=1 t=46158
ri hou 	日後	c=1 d=1.56288e-18 t=96130
ri ji 	日記	c=2 d=0.00191125 t=96130
ri li 	日曆	c=10 d=2.79526e-05 t=96130
ri qi 	日期	c=7 d=1 t=75662
ri shi 	日蝕	c=1 d=1 t=34565
ri zhi 	日誌	c=2 d=6.25076e-08 t=96130
rong 	容	c=3 d=7.99468e-15 t=96130
rong 	榮	c=2 d=8.07503e-15 t=96130
rong 	蓉	c=1 d=8.03475e-15 t=96130
rong cuo xing 	容错性	c=1 d=1 t=73889
rong he 	融合	c=4 d=1.01333e-07 t=96130
rong liang 	容量	c=7 d=1.66699e-12 t=96130
rong qi 	容器	c=5 d=1.00541e-08 t=96130
rong qia 	融洽	c=2 d=1 t=37212
rong ru 	融入	c=1 d=1 t=76004
rong yi 	容易	c=8 d=0.618796 t=96130
rong yu 	榮譽	c=18 d=1.50662 t=94827
rou 	柔	c=1 d=1 t=78525
rou 	肉	c=6 d=1.00023 t=71659
rou song 	肉鬆	c=1 d=3.23363e-13 t=96130
ru 	乳	c=1 d=1 t=25979
ru 	入	c=7 d=0.878095 t=96130
ru 	如	c=113 d=0.227424 t=96130
ru a nian 	如阿卄	c=3 d=1 t=78757
ru bu liao 	入不了	c=1 d=1 t=31714
ru chong 	蠕蟲	c=1 d=1 t=75286
ru ci 	如此	c=3 d=1.9802 t=75217
ru dang 	入黨	c=18 d=0.00694783 t=96130
ru du 	入度	c=8 d=1.01124 t=88402
ru dui 	入隊	c=3 d=1 t=88324
ru guo 	如果	c=79 d=0.0110509 t=96130
ru guo shi 	如果是	c=1 d=0.0203434 t=96130
ru he 	如何	c=941 d=1.21002 t=96130
ru kou 	入口	c=3 d=2.04523e-06 t=96130
ru men 	入門	c=1 d=2.78227e-10 t=96130
ru men an li 	入門案例	c=1 d=2.79621e-09 t=96130
ru mian 	如面	c=1 d=1 t=74635
ru tong 	如同	c=1 d=1 t=61385
ru tu 	如圖	c=3 d=1.98401e-16 t=96130
ru wu 	入伍	c=3 d=1 t=94687
ru xia 	如下	c=9 d=1.0677e-06 t=96130
ru xiang 	乳香	c=1 d=1 t=93275
ru xue 	入學	c=2 d=1 t=37600
ru zhi 	入職	c=2 d=1 t=91829
ru zhi pin 	乳製品	c=1 d=1 t=75027
ruan 	軟	c=17 d=1.00347 t=96108
ruan guo 	软国	c=3 d=1.04149 t=96130
ruan jian 	軟件	c=60 d=0.991802 t=96130
ruan jian an 	軟件按	c=1 d=1 t=75750
ruan jian bu fen 	軟件部分	c=1 d=4.6141e-19 t=96130
ruan kao 	软考	c=1 d=1 t=47381
ruan mei yuan 	軟美元	c=1 d=1 t=28092
ruan xia qu 	軟下去	c=1 d=1 t=20546
ruan zhu 	軟朱	c=2 d=1.00115 t=91839
rui 	瑞	c=5 d=1 t=56707
rui 	睿	c=2 d=1.86564e-13 t=96130
rui shi 	瑞士	c=1 d=1 t=22467
rui si 	瑞斯	c=0 d=0.1 t=75686
rui si bai 	瑞斯拜	c=2 d=1.61263 t=75785
rui xian 	睿賢	c=1 d=1 t=38611
run 	潤	c=1 d=1 t=21243
run se 	潤色	c=3 d=1.00504 t=74588
ruo 	弱	c=7 d=1.83527 t=92373
ruo 	若	c=6 d=1 t=89193
ruo gan 	若干	c=2 d=1.43798e-15 t=96130
ruo hua 	弱化	c=1 d=1 t=80964
sa jiao 	撒嬌	c=1 d=1 t=21255
sai 	賽	c=8 d=0.0081887 t=96130
sai dao 	賽道	c=1 d=1 t=91327
sai ji 	賽季	c=1 d=1 t=35003
sai shi 	賽事	c=2 d=1.99005 t=39040
san 	三	c=38 d=0.494109 t=96130
san bu fen 	三部分	c=2 d=1 t=95705
san ci 	三次	c=2 d=1 t=92493
san da 	三大	c=2 d=1 t=88618
san dao 	三道	c=1 d=1.35404e-07 t=96130
san de 	三德	c=0 d=2.32513e-16 t=96130
san de en jiao 	三德恩嬌	c=1 d=2.33679e-15 t=96130
san deng jiang 	三等獎	c=7 d=0.00295447 t=96130
san dian 	三點	c=2 d=4.68144e-13 t=96130
san du 	散度	c=2 d=1.6942 t=96004
san duan 	三段	c=0 d=0.1 t=37020
san duan hua 	三段話	c=1 d=1 t=37021
san ge 	三個	c=46 d=0.000387808 t=96130
san ge bao 	三個包	c=1 d=8.05418e-14 t=96130
san ge ci 	三个词	c=1 d=1 t=51868
